year,population,male : female ratio,male,female
1948,1853900,100.4,930658,923242
1949,1888123,100.8,951614,936509
1950,1911608,100.8,963450,948158
1951,1952124,100.9,984847,967277
1952,1998948,101.1,1010468,988480
1953,2048965,101.1,1035752,1013213
1954,2096332,101.1,1059696,1036636
1955,2140976,101.2,1083334,1057642
1956,2186348,101.1,1105199,1081149
1957,2235321,101.1,1129955,1105366
1958,2286559,101.2,1156999,1129560
1959,2335010,101.1,1180348,1154662
1960,2381189,101.0,1202500,1178689
1961,2431617,101.0,1227967,1203650
1962,2486311,101.1,1256830,1229481
1963,2540026,100.8,1280173,1259853
1964,2590648,100.7,1304391,1286257
1965,2638316,100.5,1325754,1312562
1966,2684356,100.6,1350231,1334125
1967,2725198,100.5,1369412,1355786
1968,2756419,100.1,1379588,1376831
1969,2786352,99.7,1388996,1397356
1970,2824061,99.9,1410618,1413443
1971,2868885,99.9,1433008,1435877
1972,2920878,99.8,1457518,1463360
1973,2980638,99.9,1488829,1491809
1974,3042812,99.8,1518363,1524449
1975,3095428,99.8,1544619,1550809
1976,3127812,99.8,1560778,1567034
1977,3141174,99.6,1564305,1576869
1978,3142539,99.4,1561842,1580697
1979,3143300,99.2,1559077,1584223
1980,3147168,98.9,1556275,1590893
1981,3160622,98.9,1562928,1597694
1982,3185721,98.6,1570560,1615161
1983,3219827,98.7,1588985,1630842
1984,3250340,98.4,1599167,1651173
1985,3268356,98.2,1604763,1663593
1986,3281671,98.1,1609660,1672011
1987,3299450,97.9,1615081,1684369
1988,3316002,97.7,1619867,1696135
1989,3333755,97.4,1623539,1710216
1990,3397389,97.3,1652830,1744559
1991,3481599,96.8,1685413,1796186
1992,3532563,97.0,1713373,1819190
1993,3573742,97.1,1734235,1839507
1994,3620890,97.1,1758684,1862206
1995,3673893,97.2,1785860,1888033
1996,3728457,97.4,1815520,1912937
1997,3775852,97.2,1834764,1941088
1998,3810044,96.9,1846609,1963435
1999,3833494,96.7,1852567,1980927
2000,3855266,96.4,1858733,1996533
2001,3889579,96.3,1871908,2017671
2002,3948584,96.2,1900207,2048377
2003,4019941,96.3,1935418,2084523
2004,4081409,96.2,1962359,2119050
2005,4132781,96.0,1984566,2148215
2006,4179978,95.9,2003990,2175988
2007,4221494,95.8,2021809,2199685
2008,4260239,95.7,2039191,2221048
2009,4302886,95.8,2060213,2242673
2010,4346338,95.7,2080099,2266239
2011,4381269,95.7,2095985,2285284
2012,4410284,95.6,2109130,2301154
2013,4450644,95.7,2129541,2321103
2014,4514195,96.3,2173614,2340581
2015,4590590,97.0,2227397,2363193
2016,4668081,97.6,2278175,2389906
2017,4746252,98.0,2326072,2420180
2018,4838526,98.4,2379799,2458727
2019,4959034,98.5,2442939,2516095
2020,5061133,98.6,2495220,2565913
2021,5129727,98.6,2527700,2602027
2022,5185288,98.5,2554023,2631265
2023,5228100,99.0,2587559,2640541
